"Koro-2 Exodrive airspeeder";"Desler Gizh Outworld Mobility Corporation";"koro-2_exodrive_airspeeder.jpg"
"Twin Ion Engine Interceptor";"Sienar Fleet Systems";"tie/in_interceptor.jpg"
"Twin Ion Engine/Ln Starfighter";"Sienar Fleet Systems";"tie/ln_starfighter.jpg"
"N-1 starfighter";"Theed Palace Space Vessel Engineering Corps";"naboo_fighter.jpg"
"Delta-7 Aethersprite-class interceptor";"Kuat Systems Engineering";"jedi_starfighter.jpg"
"Eta-2 Actis-class light interceptor";"Kuat Systems Engineering";"jedi_interceptor.jpg"
"Alpha-3 Nimbus-class V-wing starfighter";"Kuat Systems Engineering";"v-wing.jpg"
"T-16 skyhopper";"Incom Corporation";"t-16_skyhopper.jpg"
"Oevvaor jet catamaran";"Appazanna Engineering Works";"oevvaor_jet_catamaran.jpg"
"A/SF-01 B-wing starfighter";"Slayn & Korpil";"b-wing.jpg"
"RZ-1 A-wing Interceptor";"Alliance Underground Engineering, Incom Corporation";"a-wing.jpg"
"Raddaugh Gnasp fluttercraft";"Appazanna Engineering Works";"raddaugh_gnasp_fluttercraft.jpg"
"All Terrain Recon Transport";"Kuat Drive Yards";"at-rt.jpg"
"t-47 airspeeder";"Incom corporation";"snowspeeder.jpg"
"Storm IV Twin-Pod";"Bespin Motors";"storm_iv_twin-pod_cloud_car.jpg"
"Tsmeu-6 personal wheel bike";"Z-Gomot Ternbuell Guppat Corporation";"tsmeu-6_personal_wheel_bike.jpg"
"X-34 landspeeder";"SoroSuub Corporation";"x-34_landspeeder.jpg"
"74-Z speeder bike";"Aratech Repulsor Company";"imperial_speeder_bike.jpg"
"FC-20 speeder bike";"Razalon";"sith_speeder.jpg"
"Vulture-class droid starfighter";"Haor Chall Engineering, Baktoid Armor Workshop";"vulture_droid.jpg"
"tri-fighter";"Colla Designs, Phlac-Arphocc Automata Industries";"droid_tri-fighter.jpg"
"HMP droid gunship";"Baktoid Fleet Ordnance, Haor Chall Engineering";"droid_gunship.jpg"
"TIE/sa bomber";"Sienar Fleet Systems";"tie_bomber.jpg"
"MC80 Liberty type Star Cruiser";"Mon Calamari shipyards";"calamari_cruiser.jpg"
"Consular-class cruiser";"Corellian Engineering Corporation";"republic_cruiser.jpg"
"Armoured Assault Tank";"Baktoid Armor Workshop";"armored_assault_tank.jpg"
"Single Trooper Aerial Platform";"Baktoid Armor Workshop";"single_trooper_aerial_platform.jpg"
"J-type 327 Nubian royal starship";"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives";"naboo_royal_starship.jpg"
"J-type diplomatic barge";"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives";"j-type_diplomatic_barge.jpg"
"XJ-6 airspeeder";"Narglatch AirTech prefabricated kit";"xj-6_airspeeder.jpg"
"Botajef AA-9 Freighter-Liner";"Botajef Shipyards";"aa-9_coruscant_freighter.jpg"
"H-type Nubian yacht";"Theed Palace Space Vessel Engineering Corps";"h-type_nubian_yacht.jpg"
"Flitknot speeder";"Huppla Pasa Tisc Shipwrights Collective";"flitknot_speeder.jpg"
"Nantex-class territorial defense";"Huppla Pasa Tisc Shipwrights Collective";"geonosian_starfighter.jpg"
"Fire suppression speeder";NULL;"emergency_firespeeder.jpg"
"J-type star skiff";"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated";"naboo_star_skiff.jpg"
"NR-N99 Persuader-class droid enforcer";"Techno Union";"corporate_alliance_tank_droid.jpg"
